Grade,Subject,Hours per week,Teach Work Load,Teacher,Class Teacher,Full Time,Classroom,MonStart,Mon Duration,MonEnd,TueStart,Tue Duration,TueEnd,WedStart,Wed Duration,WedEnd,ThuStart,Thu Duration,ThuEnd,FriStart,Fri Duration,FriEnd
Grade 5,Computers,2:00,2:00,Teacher L,Grade 5,Yes,Grade 0,11:00,1:00,12:00,,,0:00,11:00,1:00,12:00,,,0:00,,,0:00
Grade 5,D&T,1:30,1:30,Teacher L,Grade 5,Yes,Grade 0,,,0:00,,,0:00,,,0:00,8:30,1:30,10:00,,,0:00
Grade 5,English,5:30,5:30,Teacher N,Grade 7,Yes,Grade 5,9:30,1:00,10:30,7:30,1:00,8:30,7:30,1:00,8:30,11:00,1:30,12:30,8:30,1:00,9:30
Grade 5,English,0:30,0:30,Teacher N,Grade 7,Yes,Grade 5,,,,,,,,,,,,,12:00,0:30,12:30
Grade 5,Geography,2:00,1:30,Teacher L,Grade 5,Yes,Grade 5,12:00,0:30,12:30,,,0:00,12:00,1:30,13:30,,,0:00,,,0:00
Grade 5,History,1:30,1:30,Teacher L,Grade 5,Yes,Grade 5,,,0:00,11:00,1:30,12:30,,,0:00,,,0:00,,,0:00
Grade 5,LO,1:00,1:00,Teacher M,Grade 6,Yes,Grade 5,,,0:00,,,0:00,,,0:00,,,0:00,11:00,1:00,12:00
Grade 5,Maths,5:00,5:00,Teacher R,Principal,Yes,Grade 5,7:30,1:00,8:30,9:30,1:00,10:30,8:30,1:00,9:30,7:30,1:00,8:30,9:30,1:00,10:30
Grade 5,Nat Science,0:30,0:30,Teacher N,Principal,Yes,Grade 5,,,,,,,,,,10:00,0:30,10:30,,,
Grade 5,Nat Science,2:00,2:30,Teacher L,Grade 5,Yes,Grade 5,12:30,1:00,13:30,12:30,1:00,13:30,,,0:00,,,0:00,,,0:00
Grade 5,Sport,4:00,3:00,Teacher J,Sport,Yes,Sports Field,13:30,1:00,14:30,13:30,1:00,14:30,13:30,1:00,14:30,13:30,1:00,14:30,,,0:00
Grade 6,Afrikaans,5:00,5:00,Teacher M,Grade 6,Yes,Grade 6,9:30,1:00,10:30,7:30,1:00,8:30,11:00,1:00,12:00,7:30,1:00,8:30,9:30,1:00,10:30
Grade 6,Art,1:30,1:30,Teacher L,Grade 1,Yes,Grade 6,,,0:00,,,0:00,,,0:00,,,0:00,12:30,1:30,14:00
Grade 6,Break,2:30,2:30,Teacher F,Free,Yes,Playground,10:30,0:30,11:00,10:30,0:30,11:00,10:30,0:30,11:00,10:30,0:30,11:00,10:30,0:30,11:00
Grade 6,Computers,2:00,2:00,Teacher L,Grade 5,Yes,Grade 0,7:30,1:00,8:30,,,0:00,9:30,1:00,10:30,,,0:00,,,0:00
Grade 6,D&T,1:30,1:30,Teacher L,Grade 5,Yes,Grade 0,,,0:00,,,0:00,,,0:00,11:00,1:30,12:30,,,0:00
Grade 6,English,5:00,5:00,Teacher N,Grade 7,Yes,Grade 6,11:00,1:00,12:00,9:30,1:00,10:30,8:30,1:00,9:30,8:30,1:00,9:30,7:30,1:00,8:30
Grade 6,English,1:00,1:00,Teacher N,Grade 7,Yes,Grade 6,,,0:00,13:30,1:00,14:30,,,0:00,,,0:00,,,0:00
Grade 6,Geography,0:30,0:30,Teacher M,Grade 6,Yes,Grade 6,12:00,0:30,12:30,,,0:00,,,0:00,,,0:00,,,0:00
